id,date,module,severity,title,root_cause,status,fixed_version
QB-00290,2025-03-21,商品,S3,商品场景历史问题 290,边界值遗漏,无法复现,v3.0
QB-00291,2025-04-22,购物车,S4,购物车场景历史问题 291,需求理解不一致,重复问题,v4.1
QB-00292,2025-05-23,订单,S1,订单场景历史问题 292,旧接口兼容,已修复,v5.2
QB-00293,2025-06-24,支付,S2,支付场景历史问题 293,并发控制不足,延期,v6.3
QB-00294,2025-07-25,售后,S3,售后场景历史问题 294,字段类型不一致,无法复现,v7.4
QB-00295,2025-08-26,后台,S4,后台场景历史问题 295,权限校验遗漏,重复问题,v8.0
QB-00296,2025-09-27,搜索,S1,搜索场景历史问题 296,前端状态未同步,已修复,v9.1
QB-00297,2025-10-01,会员,S2,会员场景历史问题 297,缓存失效策略不清,延期,v1.2
QB-00298,2025-11-02,物流,S3,物流场景历史问题 298,SQL 索引缺失,无法复现,v2.3
QB-00299,2025-12-03,移动端,S4,移动端场景历史问题 299,第三方回调异常,重复问题,v3.4
QB-00300,2025-01-04,商品,S1,商品场景历史问题 300,边界值遗漏,已修复,v4.0
